 ========================================================
       E/V           P              n           eps      
    (MeV/fm3)     (MeV/fm3)      (#/fm3)    (erg/cm^3/s) 
 ========================================================
   0.78736E+02   0.77356E+00   0.83122E-01   0.00000E+00
   0.78928E+02   0.77836E+00   0.83322E-01   0.00000E+00
   0.79119E+02   0.78318E+00   0.83522E-01   0.00000E+00
   0.79310E+02   0.78801E+00   0.83722E-01   0.00000E+00
   0.79502E+02   0.79287E+00   0.83922E-01   0.00000E+00
   0.79693E+02   0.79774E+00   0.84122E-01   0.00000E+00
   0.79885E+02   0.80262E+00   0.84322E-01   0.00000E+00
   0.80076E+02   0.80753E+00   0.84522E-01   0.00000E+00
   0.80267E+02   0.81245E+00   0.84722E-01   0.00000E+00
   0.80459E+02   0.81739E+00   0.84922E-01   0.00000E+00
   0.80650E+02   0.82235E+00   0.85122E-01   0.00000E+00
   0.80842E+02   0.82732E+00   0.85322E-01   0.00000E+00
   0.81033E+02   0.83232E+00   0.85522E-01   0.00000E+00
   0.81224E+02   0.83733E+00   0.85722E-01   0.00000E+00
   0.81416E+02   0.84236E+00   0.85922E-01   0.00000E+00
   0.81607E+02   0.84741E+00   0.86122E-01   0.00000E+00
   0.81799E+02   0.85247E+00   0.86322E-01   0.00000E+00
   0.81990E+02   0.85755E+00   0.86522E-01   0.00000E+00
   0.82182E+02   0.86265E+00   0.86722E-01   0.00000E+00
   0.82373E+02   0.86777E+00   0.86922E-01   0.00000E+00
   0.82565E+02   0.87291E+00   0.87122E-01   0.00000E+00
   0.82757E+02   0.87806E+00   0.87322E-01   0.00000E+00
   0.82948E+02   0.88323E+00   0.87522E-01   0.00000E+00
   0.83140E+02   0.88842E+00   0.87722E-01   0.00000E+00
   0.83331E+02   0.89363E+00   0.87922E-01   0.00000E+00
   0.83523E+02   0.89885E+00   0.88122E-01   0.00000E+00
   0.83714E+02   0.90409E+00   0.88322E-01   0.00000E+00
   0.83906E+02   0.90935E+00   0.88522E-01   0.00000E+00
   0.84098E+02   0.91463E+00   0.88722E-01   0.00000E+00
   0.84289E+02   0.91993E+00   0.88922E-01   0.00000E+00
   0.84481E+02   0.92524E+00   0.89122E-01   0.00000E+00
   0.84673E+02   0.93058E+00   0.89322E-01   0.00000E+00
   0.84864E+02   0.93593E+00   0.89522E-01   0.00000E+00
   0.85056E+02   0.94130E+00   0.89722E-01   0.00000E+00
   0.85248E+02   0.94668E+00   0.89922E-01   0.00000E+00
   0.85439E+02   0.95209E+00   0.90122E-01   0.00000E+00
   0.85631E+02   0.95752E+00   0.90322E-01   0.00000E+00
   0.85823E+02   0.96296E+00   0.90522E-01   0.00000E+00
   0.86015E+02   0.96842E+00   0.90722E-01   0.00000E+00
